,db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,A리그,일반,"애들유나
점수
1 :
점수
2 시드니FC","승
2.45배당률 하락
무
3.20배당률 하락
패
2.33배당률 상승","02.04 (금)
17:45"
1,A리그,핸디캡,"애들유나
점수
2
H +1.0
:
점수
2 시드니FC","승
1.48배당률 하락
무
3.95배당률 상승
패
4.55배당률 상승","02.04 (금)
17:45"
2,A리그,언더오버,"애들유나
U/O 2.5
총 점수
3 시드니FC","U
1.85
-O
1.64","02.04 (금)
17:45"
3,KBL,일반,"KCC
점수
72 :
점수
86 서울SK","승
2.72
-패
1.28","02.04 (금)
19:00"
4,KBL,핸디캡,"KCC
점수
78.5
H +6.5
사전조건 변경
:
점수
86 서울SK","승
1.74
-패
1.74","02.04 (금)
19:00"
5,KBL,언더오버,"KCC
U/O 167.5
사전조건 변경
총 점수
158 서울SK","U
1.74
-O
1.74","02.04 (금)
19:00"
6,KOVO남,일반,"현대캐피
점수
1 :
점수
3 대한항공","승
2.38배당률 상승
-패
1.37배당률 하락","02.04 (금)
19:00"
7,KOVO남,핸디캡,"현대캐피
점수
2.5
H +1.5
:
점수
3 대한항공","승
1.68
-패
1.80","02.04 (금)
19:00"
8,KOVO남,언더오버,"현대캐피
U/O 185.5
총 점수
187 대한항공","U
1.85배당률 상승
-O
1.64배당률 하락","02.04 (금)
19:00"
9,KOVO여,일반,"GS칼텍
점수
2 :
점수
3 현대건설","승
2.81배당률 하락
-패
1.26배당률 상승","02.04 (금)
19:00"
10,KOVO여,핸디캡,"GS칼텍
점수
3.5
H +1.5
:
점수
3 현대건설","승
2.00
-패
1.54","02.04 (금)
19:00"
11,KOVO여,언더오버,"GS칼텍
U/O 177.5
총 점수
204 현대건설","U
1.98배당률 상승
-O
1.55배당률 하락","02.04 (금)
19:00"
12,분데스리,일반,"H베를린
점수
1 :
점수
1 VfL보훔","승
2.00배당률 하락
무
3.05배당률 하락
패
3.10배당률 상승","02.05 (토)
04:30"
13,분데스리,핸디캡,"H베를린
점수
0
H -1.0
:
점수
1 VfL보훔","승
4.10배당률 하락
무
3.50배당률 하락
패
1.61배당률 상승","02.05 (토)
04:30"
14,분데스리,언더오버,"H베를린
U/O 2.5
총 점수
2 VfL보훔","U
1.71
-O
1.77","02.05 (토)
04:30"
15,라리가,일반,"헤타페
점수
3 :
점수
0 레반테","승
1.77배당률 하락
무
2.95
패
4.05배당률 상승","02.05 (토)
05:00"
16,라리가,핸디캡,"헤타페
점수
2
H -1.0
:
점수
0 레반테","승
3.60배당률 하락
무
3.15배당률 하락
패
1.80배당률 상승","02.05 (토)
05:00"
17,라리가,언더오버,"헤타페
U/O 2.5
총 점수
3 레반테","U
1.40
-O
2.30","02.05 (토)
05:00"
18,프리그1,일반,"마르세유
점수
5 :
점수
2 앙제SCO","승
1.40
무
3.75
패
5.90","02.05 (토)
05:00"
19,프리그1,핸디캡,"마르세유
점수
4
H -1.0
:
점수
2 앙제SCO","승
2.39배당률 하락
무
3.10배당률 하락
패
2.45배당률 상승","02.05 (토)
05:00"
20,프리그1,언더오버,"마르세유
U/O 2.5
총 점수
7 앙제SCO","U
1.72
-O
1.76","02.05 (토)
05:00"
21,NBA,일반,"샬럿호네
점수
101 :
점수
102 클리캐벌","승
1.29배당률 하락
-패
2.67배당률 상승","02.05 (토)
09:00"
22,NBA,핸디캡,"샬럿호네
점수
95.5
H -5.5
사전조건 변경
:
점수
102 클리캐벌","승
1.73
-패
1.75","02.05 (토)
09:00"
23,NBA,언더오버,"샬럿호네
U/O 217.5
사전조건 변경
총 점수
203 클리캐벌","U
1.74배당률 상승
-O
1.74배당률 하락","02.05 (토)
09:00"
24,NBA,일반,"디트피스
점수
93 :
점수
102 보스셀틱","승
3.57
-패
1.15","02.05 (토)
09:00"
25,NBA,핸디캡,"디트피스
점수
101.5
H +8.5
:
점수
102 보스셀틱","승
1.75
-패
1.73","02.05 (토)
09:00"
26,NBA,언더오버,"디트피스
U/O 214.5
사전조건 변경
총 점수
195 보스셀틱","U
1.75
-O
1.73","02.05 (토)
09:00"
27,NBA,일반,"인디페이
점수
115 :
점수
122 시카불스","승
1.75배당률 하락
-패
1.73배당률 상승","02.05 (토)
09:00"
28,NBA,핸디캡,"인디페이
점수
116.5
H +1.5
:
점수
122 시카불스","승
1.59배당률 하락
-패
1.92배당률 상승","02.05 (토)
09:00"
29,NBA,언더오버,"인디페이
U/O 229.5
사전조건 변경
총 점수
237 시카불스","U
1.73
-O
1.75","02.05 (토)
09:00"
30,NBA,일반,"토론랩터
점수
125 :
점수
114 애틀호크","승
1.57
-패
1.95","02.05 (토)
09:30"
31,NBA,핸디캡,"토론랩터
점수
123.5
H -1.5
:
점수
114 애틀호크","승
1.72
-패
1.76","02.05 (토)
09:30"
32,NBA,언더오버,"토론랩터
U/O 218.5
사전조건 변경
총 점수
239 애틀호크","U
1.74
-O
1.74","02.05 (토)
09:30"
33,NBA,일반,"샌안스퍼
점수
131 :
점수
106 휴스로케","승
1.21배당률 하락
-패
3.10배당률 상승","02.05 (토)
10:30"
34,NBA,핸디캡,"샌안스퍼
점수
123.5
H -7.5
사전조건 변경
:
점수
106 휴스로케","승
1.78
-패
1.70","02.05 (토)
10:30"
35,NBA,언더오버,"샌안스퍼
U/O 236.5
사전조건 변경
총 점수
237 휴스로케","U
1.74배당률 하락
-O
1.74배당률 상승","02.05 (토)
10:30"
36,NBA,일반,"유타재즈
점수
125 :
점수
102 브루네츠","승
1.30
-패
2.63","02.05 (토)
11:00"
37,NBA,핸디캡,"유타재즈
점수
119.5
H -5.5
:
점수
102 브루네츠","승
1.73
-패
1.75","02.05 (토)
11:00"
38,NBA,언더오버,"유타재즈
U/O 230.5
사전조건 변경
총 점수
227 브루네츠","U
1.74
-O
1.74","02.05 (토)
11:00"
39,NBA,일반,"덴버너게
점수
105 :
점수
113 뉴올펠리","승
1.27
-패
2.76","02.05 (토)
11:00"
